"indicateurs","Unit","Date","Value"
"AGOENYIVE = SOGBOSSITO","","2010","6041"
"AGOENYIVE = SOGBOSSITO AZIALE KOPE","","2010","1407"
"AGOENYIVE = TELESSOU","","2010","8117"
"AGOENYIVE = TELESSOU ADOKPO KOPE","","2010","6874"
"AGOENYIVE = TOGOME","","2010","12556"
"AGOENYIVE = TOTSI KLEVEGBLE","","2010","6462"
"AGOENYIVE = TOTSI KPATEFI","","2010","5544"
"AGOENYIVE = TOTSI NYIVEME","","2010","14798"
"VAKPOSSITO = AWOUDJA KOPE","","2010","9072"
"VAKPOSSITO = ELAVANYO ATSANVE","","2010","834"
"VAKPOSSITO = ELAVANYO KLEVE","","2010","1923"
"VAKPOSSITO = HOSSOUKOPE","","2010","1365"
"VAKPOSSITO = ATSANVE","","2010","13821"
"LACS","","2010","172148"
"ANEHO","","2010","24891"
"AGBODRAFO","","2010","54448"
"GLIDJI","","2010","15444"
"AGOUEGAN","","2010","10187"
"ANFOIN","","2010","13703"
"FIATA + GANAVE","","2010","19733"
"AKLAKOU","","2010","33742"
"BAS-MONO","","2010","88846"
"AFAGNAGAN","","2010","22681"
"AFAGNA","","2010","12411"
"KPETSOU","","2010","11572"
"AGOME-GLOZOU + AGBETIKO","","2010","11361"
"HOMPOU","","2010","4114"
"ATTITOGON","","2010","26707"
"VO","","2010","210075"
"VOGAN","","2010","55977"
"VO-KOUTIME","","2010","27824"
"DZREKPO/AMEGNRAN","","2010","27941"
"MOME-HOUNKPATI","","2010","12722"
"DAGBATI","","2010","19163"
"AKOUMAPE","","2010","19286"
"HAHOTOE","","2010","14110"
"SEVAGAN","","2010","9964"
"TOGOVILLE","","2010","16648"
"ANYRON KOPE","","2010","6440"
"YOTO","","2010","165596"
"TABLIGBO","","2010","26001"
"KINI-KONDJI","","2010","5463"
"TOKPLI","","2010","12840"
"AMOUSSIME","","2010","11200"
"GBOTO","","2010","14694"
"ESSE-GODJIN","","2010","7638"
"TOMETY KONDJI","","2010","9638"
"SEDOME","","2010","10226"
"ZAFI","","2010","12030"
"KOUVE","","2010","20469"
"AHEPE","","2010","19426"
"TCHEKPO","","2010","15971"
"ZIO","","2010","297970"
"TSEVIE","","2010","58676"
"GBATOPE","","2010","27298"
"DALAVE","","2010","12030"
"KPOME","","2010","9330"
"ABOBO","","2010","15655"
"DJAGBLE","","2010","16890"
"DAVIE","","2010","13388"
"ADETI KOPE","","2010","20238"
"MISSION-TOVE","","2010","9040"
"KOVIE","","2010","12497"
"WLI","","2010","4139"
"BOLOU","","2010","10925"
"GBLAINVIE","","2010","7079"
"GAPE-KPODJI","","2010","7731"
"GAPE-CENTRE","","2010","22051"
"AGBELOUVE","","2010","36034"
"GAME","","2010","14969"
"AVE","","2010","93812"
"KEVE","","2010","12771"
"ASSAHOUN + ANDO","","2010","37864"
"TOVEGAN","","2010","12333"
"DZOLO","","2010","8660"
"BADJA","","2010","10387"
"NOEPE","","2010","5700"
"AKEPE","","2010","6097"
"PLATEAUX","","2010","1375165"
"OGOU","","2010","196470"
"DJAMA","","2010","21410"
"WOUDOU","","2010","10924"
"GNAGNA","","2010","60062"
"DATCHA","","2010","12367"
"GLEI","","2010","37928"
"KATORE","","2010","10099"
"OUNTIVOU","","2010","23000"
"AKPARE","","2010","20680"
"ANIE","","2010","124928"
"ANIE","","2010","48046"
"PALLAKOKO","","2010","7080"
"KOLO KOPE","","2010","13528"
"ADOGBENOU","","2010","26433"
"GLITO","","2010","15657"
"ATCHINEDJI","","2010","14184"
"EST-MONO","","2010","121789"
"ELAVAGNON","","2010","22799"
"GBADJAHE","","2010","8647"
"KPESSI","","2010","9615"
"KAMINA","","2010","15902"
"BADIN","","2010","17420"
"MORETAN","","2010","35435"
"NYAMASSILA","","2010","11971"
"AKEBOU","","2010","62245"
"KOUGNOHOU","","2010","12120"
"VHE","","2010","5597"
"DJON","","2010","12741"
"KPALAVE","","2010","4143"
"GBENDE","","2010","5175"
"YALLA","","2010","4041"
"SEREGBENE","","2010","6239"
"KAMINA AKEBOU","","2010","12189"
"WAWA","","2010","100974"
"BADOU","","2010","20433"
"TOMEGBE","","2010","8805"
"KPETE BENA","","2010","11556"
"GBANDI-N'KOUGNA+GOBE+EKETO","","2010","19759"
"DOUME","","2010","4147"
"OUNABE","","2010","3813"
"OKOU","","2010","6058"
"KLABE EFOUKPA","","2010","16124"
"KESSIBO","","2010","10279"
"AMOU","","2010","105091"
"OUMA-AMLAME","","2010","13856"
"AMOU-OBLO","","2010","15973"
"SODO","","2010","3932"
"EKPEGNON","","2010","7013"
"KPATEGAN","","2010","8443"
"AVEDJE","","2010","2812"
"IMLE","","2010","4952"
"ADIVA","","2010","1277"
"EVOU","","2010","4168"
"TEMEDJA","","2010","6719"
"HIHEATRO","","2010","22344"
"OKPAHOUE","","2010","1647"
"OTADI","","2010","5766"
"GAME","","2010","6189"
"DANYI","","2010","38742"
"DANYI-ATIGBA + ELAVANYO","","2010","20892"
"DANYI-KAKPA","","2010","8251"
"YIKPA","","2010","1330"
"AHLON","","2010","4844"
"DANYI KPETO-EVITA","","2010","3425"
"KPELE","","2010","75547"
"KPELE-NOVIVE","","2010","22302"
"KPELE DAWLOTOU","","2010","11756"
"AKATA","","2010","8763"
"KPELE-GOVIE","","2010","3559"
"KPELE-CENTRE/GOUDEVE","","2010","8001"
"KPELE-GBALADJE","","2010","3050"
"KPELE KAME","","2010","6637"
"KPELE-DUTOE","","2010","3849"
"KPELE-NORD","","2010","7630"
"KLOTO","","2010","139043"
"AGOME-KPALIME","","2010","75084"
"AGOME","","2010","1908"
"AGOME-TOMEGBE","","2010","3085"
"KOUMA","","2010","6437"
"KPIME","","2010","6554"
"LAVIE + LAVIE APEDOME","","2010","14131"
"YOKELE","","2010","3728"
"TOVE","","2010","5732"
"TOME","","2010","3902"
"WOME","","2010","4195"
"KPADAPE","","2010","8560"
"GBALAVE","","2010","2180"
"HANYIGBA","","2010","3547"
"AGOU","","2010","84890"
"AGOU-TAVIE","","2010","10075"
"AGOU KEBO","","2010","3550"
"AGOU NYOGBO DZIDJOLE + AGBETIKO","","2010","7071"
"AGOU AKPLOLO","","2010","2695"
"AGOU YIBOE + KATI","","2010","9358"
"GADJA","","2010","21614"
"AMOUSSOUKOPE","","2010","8565"
"AGOTIME SUD/ ADZAKPA","","2010","6983"
"AGOTIME NORD","","2010","9928"
"ASSAHOUN FIAGBE","","2010","3076"
"AGOU-ATIGBE","","2010","1975"
"HAHO","","2010","248160"
"NOTSE","","2010","62886"
"KPEDOME","","2010","50278"
"KPEGNON (HAITO)","","2010","7402"
"WAHALA","","2010","30212"
"ASRAMA","","2010","40622"
"DJEMEGNI","","2010","19775"
"DALIA","","2010","14164"
"ATSAVE","","2010","22821"
"MOYEN-MONO","","2010","77286"
"TOHOUN","","2010","16477"
"TADO","","2010","16031"
"SALIGBE","","2010","10609"
"AHASSOME","","2010","7880"
"KPEKPLEME","","2010","19424"
"KATOME","","2010","6865"
"CENTRALE","","2010","617871"
"TCHAOUDJO","","2010","190114"
"KPANGALAM","","2010","29083"
"KOMAH","","2010","79188"
"TCHALO","","2010","6302"
"KADAMBARA","","2010","17352"
"LAMA-TESSI","","2010","20768"
"KPARATAO","","2010","9606"
"WASSARABO","","2010","2465"
"KPASSOUADE","","2010","2473"
"AGOULOU","","2010","8891"
"KEMENI","","2010","2256"
"ALHERIDE + AMAIDE","","2010","8775"
"KOLINA","","2010","2955"
"TCHAMBA","","2010","131674"
"TCHAMBA","","2010","30878"
"LARINI","","2010","7139"
"AFFEM","","2010","6007"
"KRIKRI","","2010","4949"
"ALIBI I","","2010","7620"
"KOUSSOUNTOU","","2010","16489"
"BALANKA","","2010","8172"
"KABOLI","","2010","21604"
"GOUBI","","2010","7182"
"BAGO","","2010","21634"
"SOTOUBOUA","","2010","121014"
"SOTOUBOUA","","2010","29521"
"TCHEBEBE","","2010","14700"
"BODJONDE","","2010","2092"
"KAZABOUA","","2010","8186"
"TABINDE","","2010","7206"
"SESSARO","","2010","9234"
"TITTIGBE","","2010","7009"
"KANIAMBOUA","","2010","2429"
"ADJENGRE","","2010","24027"
"AOUDA","","2010","14483"
"FAZAO","","2010","2127"
"BLITTA","","2010","137658"
"BLITTA-GARE","","2010","13077"
"BLITTA VILLAGE","","2010","5589"
"YALOUMBE","","2010","4391"
"WARIGNI","","2010","4569"
"TCHALOUDE","","2010","5416"
"AGBANDI","","2010","10631"
"LANGABOU","","2010","13907"
"KOFFITI","","2010","8456"
"TCHARE-BAOU","","2010","7051"
"PAGALA-GARE","","2010","19551"
"WELLY","","2010","8973"
"TINTCHRO","","2010","3970"
"ATCHINTSE","","2010","5973"
"DIGUENGUE","","2010","1783"
"YEGUE","","2010","3160"
"DIKPELEOU","","2010","2059"
"KATCHENKE","","2010","3088"
"M'POTI","","2010","5460"
"TCHIFAMA","","2010","4621"
"PAGALA-VILLAGE","","2010","3494"
"DOUFOULI","","2010","2439"
"Sous Prefecture de MO","","2010","37411"
"DJARKPANGA","","2010","12948"
"KAGNIGBARA","","2010","3983"
"BOULOHOU","","2010","4298"
"TINDJASSE","","2010","10927"
"SAÏBOUDE","","2010","5255"
"KARA","","2010","769940"
"KOZAH","","2010","225259"
"LAMA","","2010","105882"
"LANDA-POZENDA/KPINZINDE","","2010","9365"
"AWANDJELO","","2010","9803"
"ATCHANGBADE","","2010","16294"
"DJAMDE","","2010","4077"
"SARA-KAWA","","2010","4576"
"PYA","","2010","11772"
"TCHITCHAO","","2010","7741"
"YADE","","2010","5094"
"BOHOU","","2010","5810"
"TCHARE","","2010","3028"
"KOUMEA","","2010","8508"
"LANDA","","2010","8764"
"SOUMDINA","","2010","10084"
"LASSA","","2010","14461"
"BINAH","","2010","70054"
"PAGOUDA","","2010","15656"
"BOUFALE","","2010","5618"
"SOLLA","","2010","8033"
"PITIKITA","","2010","1538"
"PESSARE","","2010","6133"
"LAMA-DESSI","","2010","4171"
"KETAO","","2010","18396"
"KEMERIDA","","2010","4981"
"SIRKA","","2010","5528"
"DOUFELGOU","","2010","78635"
"NIAMTOUGOU","","2010","7045"
"KOKA","","2010","3885"
"AGBANDE-YAKA","","2010","7055"
"LEON","","2010","3172"
"ALLOUM","","2010","9003"
